     MetID    Y  M  D      TAM      NNM      UUM      FFM       RR
    888011 2009  1  1     -6.7      1.4     80.8      1.2      2.8
    888011 2009  1  2     -8.9      4.7     84.2      1.6      0.0
    888011 2009  1  3     -4.6      4.9     87.1      1.8     11.3
    888011 2009  1  4     -9.5      0.8     80.8      1.3      0.0
    888011 2009  1  5    -12.4      4.2     79.7      1.3      0.2
    888011 2009  1  6     -2.7      7.3     83.8      3.1      6.9
    888011 2009  1  7     -8.1      3.7     79.7      1.7     26.1
    888011 2009  1  8     -1.6      7.6     89.8      3.2     15.3
    888011 2009  1  9      2.2      7.0     90.7      2.5     36.5
    888011 2009  1 10      2.8      6.4     70.4      4.2      4.2
    888011 2009  1 11      4.3      7.8     85.5      4.4     16.3
    888011 2009  1 12      5.1      7.7     86.5      4.3     94.8
    888011 2009  1 13      3.4      6.7     79.8      4.6     40.3
    888011 2009  1 14     -0.2      4.4     85.3      1.6     13.3
    888011 2009  1 15     -3.7      2.6     75.0      3.1      1.5
    888011 2009  1 16      0.7      7.8     59.2      5.5      0.0
    888011 2009  1 17      2.9      7.4     54.8      6.2      0.1
    888011 2009  1 18      2.1      7.5     60.2      6.0      0.3
    888011 2009  1 19      3.1      5.2     59.8      4.7      3.5
    888011 2009  1 20      1.3      7.6     72.8      4.2      0.2
    888011 2009  1 21      1.2      7.5     86.9      3.1     16.0
    888011 2009  1 22      2.0      5.5     68.3      4.4     25.1
    888011 2009  1 23      2.7      7.7     60.2      5.0      2.5
    888011 2009  1 24      2.3      7.7     65.8      3.8      0.7
    888011 2009  1 25     -1.5      3.1     74.3      3.1      2.2
    888011 2009  1 26     -2.5      5.2     69.5      2.7      0.2
    888011 2009  1 27     -4.4      6.4     76.4      1.9      0.0
    888011 2009  1 28      0.0      7.6     87.7      1.4      0.3
    888011 2009  1 29     -1.4      6.8     88.9      1.5      2.7
    888011 2009  1 30     -5.6      1.8     80.7      1.3      0.4
    888011 2009  1 31     -6.7      1.4     78.6      1.4      0.0
    888011 2009  2  1     -7.7      6.0     81.8      1.1      0.2
    888011 2009  2  2     -7.2      1.7     74.5      1.6      0.0
    888011 2009  2  3     -8.4      3.0     72.5      1.6      0.1
    888011 2009  2  4     -5.2      7.9     85.1      1.1      0.1
    888011 2009  2  5     -3.4      7.4     89.9      0.9     12.6
    888011 2009  2  6     -4.9      7.6     86.2      1.5      3.8
    888011 2009  2  7     -5.3      5.9     85.0      1.2      1.1
    888011 2009  2  8    -11.7      2.5     81.3      1.2      0.2
    888011 2009  2  9     -9.0      6.4     84.7      1.3      2.1
    888011 2009  2 10    -11.6      1.5     80.4      1.2      1.6
    888011 2009  2 11    -10.1      4.2     80.5      1.3      0.2
    888011 2009  2 12     -7.1      5.8     84.9      1.1      0.2
    888011 2009  2 13    -10.1      1.2     82.4      1.3      0.8
    888011 2009  2 14    -10.9      6.3     79.9      1.2      0.2
    888011 2009  2 15     -3.6      7.8     90.1      1.4     14.1
    888011 2009  2 16     -0.8      7.9     90.4      1.4     21.0
    888011 2009  2 17     -0.8      7.8     88.4      2.0      7.3
    888011 2009  2 18     -1.0      7.7     91.4      1.0     10.4
    888011 2009  2 19     -0.1      7.8     92.6      1.2      7.0
    888011 2009  2 20      0.3      7.5     89.0      1.4      3.9
    888011 2009  2 21     -0.4      7.9     92.8      1.8      9.1
    888011 2009  2 22      2.3      7.6     89.4      3.0     44.1
    888011 2009  2 23      0.8      4.8     83.4      2.1      3.5
    888011 2009  2 24     -0.6      7.6     90.6      1.5      0.9
    888011 2009  2 25      0.6      7.7     91.6      2.0     11.7
